Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita,Weighted_Degree,Betweenness,Production_Shocked,Ratio,Imports_Shocked,Exports_Shocked,Availability_After_Shock,Deficit_kg_per_capita,Percent_Drop
Americas,2022,Wheat,119245278.38,NA,Eastern Asia,1663264901,0,0,71.69349771543096,0,0,119245278.38,0.9998248861842252,0,0,71.69349771543096,0,0
Americas,2022,Wheat,119245278.38,NA,Southern Asia,2022467287,0,0,58.960300196934654,0,0,119245278.38,0.9998248861842252,0,0,58.960300196934654,0,0
Americas,2022,Wheat,119245278.38,NA,South-eastern Asia,684898412,0,0,174.10651899715603,0,0,119245278.38,0.9998248861842252,0,0,174.10651899715603,0,0
Americas,2022,Wheat,119245278.38,NA,Western Asia,297688665,0,0,400.5704361635671,0,0,119245278.38,0.9998248861842252,0,0,400.5704361635671,0,0
Americas,2022,Wheat,119245278.38,NA,Europe,746964086,0,0,159.63990855110535,0,0,119245278.38,0.9998248861842252,0,0,159.63990855110535,0,0
Americas,2022,Wheat,119245278.38,NA,Eastern Europe,289050977,0,0,412.54065154050664,0,0,119245278.38,0.9998248861842252,0,0,412.54065154050664,0,0
Americas,2022,Wheat,119245278.38,NA,Northern Europe,107439461,0,0,1109.883438264829,0,0,119245278.38,0.9998248861842252,0,0,1109.883438264829,0,0
Americas,2022,Wheat,119245278.38,NA,Southern Europe,151975351,0,0,784.6356504220214,0,0,119245278.38,0.9998248861842252,0,0,784.6356504220214,0,0
Americas,2022,Wheat,119245278.38,NA,Western Europe,198498297,0,0,600.7370349378866,0,0,119245278.38,0.9998248861842252,0,0,600.7370349378866,0,0
Americas,2022,Wheat,119245278.38,NA,Oceania,45049350,0,0,2646.992206990778,0,0,119245278.38,0.9998248861842252,0,0,2646.992206990778,0,0
