ISO3,Production,Imports_Original,Imports_Shocked,Population,Availability_Baseline,Availability_After_Shock,Percent_Drop,Severity
NA,346130626.05,0,0,87058473,3975.840766814277,3975.840766814277,0,Low
NA,346130626.05,0,0,86507,4001186.332319928,4001186.332319928,0,Low
NA,346130626.05,0,0,28213017,12268.472600785659,12268.472600785659,0,Low
NA,346130626.05,0,0,11478,30156005.05750131,30156005.05750131,0,Low
NA,346130626.05,0,0,8021406686,43.150863632698254,43.150863632698254,0,Low
NA,346130626.05,0,0,475299909,728.2362556690496,728.2362556690496,0,Low
NA,346130626.05,0,0,199713824,1733.133035648048,1733.133035648048,0,Low
NA,346130626.05,0,0,264719925,1307.5352225564434,1307.5352225564434,0,Low
NA,346130626.05,0,0,71212991,4860.498361176825,4860.498361176825,0,Low
NA,346130626.05,0,0,435937001,793.9923091089026,793.9923091089026,0,Low
NA,346130626.05,0,0,1034848565,334.4746639813913,334.4746639813913,0,Low
NA,346130626.05,0,0,380481775,909.716703382179,909.716703382179,0,Low
NA,346130626.05,0,0,179821109,1924.860924142115,1924.860924142115,0,Low
NA,346130626.05,0,0,44052902,7857.158333178595,7857.158333178595,0,Low
NA,346130626.05,0,0,430492778,804.033525621654,804.033525621654,0,Low
NA,346130626.05,0,0,4747661033,72.90550518331413,72.90550518331413,0,Low
NA,346130626.05,0,0,79341768,4362.527263697981,4362.527263697981,0,Low
NA,346130626.05,0,0,1663264901,208.10312647245598,208.10312647245598,0,Low
NA,346130626.05,0,0,2022467287,171.1427563129727,171.1427563129727,0,Low
NA,346130626.05,0,0,684898412,505.37513299125595,505.37513299125595,0,Low
NA,346130626.05,0,0,297688665,1162.726924956985,1162.726924956985,0,Low
NA,346130626.05,0,0,746964086,463.3832235543383,463.3832235543383,0,Low
NA,346130626.05,0,0,289050977,1197.472603768435,1197.472603768435,0,Low
NA,346130626.05,0,0,107439461,3221.634051663755,3221.634051663755,0,Low
NA,346130626.05,0,0,151975351,2277.5445081880416,2277.5445081880416,0,Low
NA,346130626.05,0,0,198498297,1743.7460738013283,1743.7460738013283,0,Low
NA,346130626.05,0,0,45049350,7683.365599059698,7683.365599059698,0,Low
NA,346130626.05,0,0,31332719,11046.938698489588,11046.938698489588,0,Low
NA,346130626.05,0,0,12503827,27681.97497054302,27681.97497054302,0,Low
NA,346130626.05,0,0,449113453,770.6975236165994,770.6975236165994,0,Low
NA,346130626.05,0,0,1134811910,305.01144991507886,305.01144991507886,0,Low
