ISO3,Year,Weighted_Degree,Betweenness
ZMB,2012,62087288.85132169,2.53216191761818e-4
ZWE,2012,40281083.30782872,0.00020033221660302028
MNE,2012,2045671.8173296016,0
ZAF,2012,906029145.5420955,0.005196971127598418
PCN,2012,5844.605482819353,0
SGS,2012,18521.015948238066,0
NFK,2012,16764.731103615984,0
SSD,2012,2584880.703,0
PLW,2012,98644.37002683469,0
BES,2012,138.897,0
HMD,2012,1222719.5950429002,0
BHS,2012,15018577.364000004,0
CPV,2012,3199553.2549999994,0
COG,2012,34754320.658999965,0
EGY,2012,276673652.97999924,0
SWZ,2012,8041726.42299377,0
ETH,2012,51131219.43174849,0
GMB,2012,1507687.0143460478,0
LAO,2012,11215976.416,0
FSM,2012,757147.3360000007,0
MKD,2012,24447306.124000046,0
PSE,2012,18407068.562000055,0
LCA,2012,2666687.8720000032,0
VCT,2012,1669410.3820000023,0
ABW,2022,202564.38442493218,0
AFG,2022,6569470.868926206,0
AGO,2022,256358877.97968233,4.3690728089056466e-4
ALB,2022,33114148.480326246,8.056356918493575e-5
AND,2022,544996.507249288,0
ARE,2022,2459861632.5439982,0.004355783101355472
ARG,2022,707895698.4743793,4.96643139887675e-4
ARM,2022,45125410.21742916,1.853617940255788e-4
ASM,2022,64022.09350370857,0
ATA,2022,39056.96877111051,0
ATG,2022,3642615.220514352,1.6726724435651527e-4
AUS,2022,2652216742.633944,0.0029088570284829373
AUT,2022,1770750868.2433755,0.0031359270748501267
AZE,2022,202282573.78624314,1.9646653827814212e-4
BDI,2022,5668341.447043954,4.601454495435842e-5
BEL,2022,3701913726.546551,0.0036758927339691425
BEN,2022,20732290.291130427,1.0024987129327246e-4
BFA,2022,36558620.783220634,1.0719433468696302e-4
BGD,2022,304860218.2262036,0
BGR,2022,376807037.977414,5.202870465967032e-4
BHR,2022,74972258.08888718,0
BIH,2022,87826355.84561105,5.58678650453082e-4
BLM,2022,1484852.0309926192,0
BLR,2022,46548209.32782708,0
BLZ,2022,7173425.438009568,6.872219274845099e-5
BMU,2022,320959.36612211354,0
BOL,2022,51247688.15558166,0
BRA,2022,2636483968.1391077,0.002109720910423162
BRB,2022,10164448.94324219,1.9033916728000398e-4
BRN,2022,88804602.61738378,2.513476738256322e-4
BTN,2022,1573693.1836606597,0
BWA,2022,60046179.637791514,1.129104215112131e-4
CAF,2022,3352115.8285880983,1.7125736903594575e-5
CAN,2022,4977635199.669777,0.005738999212731746
CCK,2022,15324.005339123773,0
CHE,2022,2910123549.786435,0.002373559180157837
CHL,2022,842634510.9725955,6.069472378688313e-4
CHN,2022,21894542576.052746,0.0034984869194647173
CIV,2022,52126148.46290002,0
CMR,2022,54796146.909768276,4.8784054896573503e-4
